平日ダイヤ 金沢駅 下り時刻表,,,,
5,普通,,,
,14,,,
,富山,,,
,7,,,
6,普通,普通,,
,02,52,,
,富山,泊,,
,6,7,,
7,普通,普通,,
,16,54,,
,黒部,津幡,,
,6,7,,
8,普通,普通,,
,01,50,,
,泊,富山,,
,6,4,,
9,普通,,,
,24,,,
,富山,,,
,5,,,
10,普通,,,
,05,,,
,泊,,,
,6,,,
11,普通,,,
,05,,,
,富山,,,
,3,,,
12,普通,,,
,05,,,
,泊,,,
,5,,,
13,普通,普通,,
,05,42,,
,富山,富山,,
,3,7,,
14,普通,,,
,23,,,
,富山,,,
,5,,,
15,普通,普通,普通,
,05,40,59,
,富山,泊,富山,
,7,6,3,
16,普通,普通,,
,09,42,,
,津幡,泊,,
,6,7,,
17,普通,快速あいの風ﾗｲﾅｰ,普通,普通
,00,17,40,58
,泊,泊,糸魚川,泊
,7,7,7,4
18,快速あいの風ﾗｲﾅｰ,普通,,
,15,45,,
,泊,富山,,
,4,3,,
19,普通,普通,普通,
,03,19,37,
,津幡,富山,泊,
,6,7,6,
20,普通,快速あいの風ﾗｲﾅｰ,普通,
,00,20,40,
,泊,泊,泊,
,5,5,6,
21,普通,,,
,25,,,
,富山,,,
,3,,,
22,普通,,,
,00,,,
,泊,,,
,6,,,
23,普通,普通,,
,00,48,,
,富山,津幡,,
,5,6,,
